"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"100","Samarinda","24.46","94","1011","0.78","186","0","0","34","10000","scattered clouds","Clouds","2024-10-29 14:09:09"
"101","Samarinda","23.98","96","1010","0.66","171","0.49","0","53","10000","light rain","rain","2024-10-29 15:09:09"
"102","Samarinda","23.74","98","1010","0.67","194","0","0","61","10000","broken clouds","Clouds","2024-10-29 16:09:09"
"103","Samarinda","23.5","98","1009","0.42","198","0.52","0","68","10000","light rain","rain","2024-10-29 17:09:08"
"104","Samarinda","23.43","99","1009","0.57","208","0.18","0","74","10000","light rain","rain","2024-10-29 18:09:08"
"105","Samarinda","23.35","99","1009","0.59","227","0.42","0","74","10000","light rain","rain","2024-10-29 19:09:09"
"106","Samarinda","23.29","99","1009","0.65","234","0.46","0","87","10000","light rain","rain","2024-10-29 20:09:09"
"107","Samarinda","23.2","99","1010","0.6","232","0.36","0","91","10000","light rain","rain","2024-10-29 21:09:09"
"108","Samarinda","23.17","99","1010","0.51","225","0.15","0","90","10000","light rain","rain","2024-10-29 22:09:08"
"109","Samarinda","24.54","96","1011","0.85","239","0.15","0","92","10000","light rain","rain","2024-10-29 23:09:09"
"110","Samarinda","26.82","85","1012","1.34","224","0","0","91","10000","overcast clouds","Clouds","2024-10-30 00:09:09"
"111","Samarinda","29.13","75","1012","1.4","203","0.25","0","77","10000","light rain","rain","2024-10-30 01:09:09"
"112","Samarinda","31.45","61","1011","1.73","197","0","0","63","10000","broken clouds","Clouds","2024-10-30 02:09:09"
"113","Samarinda","33.26","51","1010","1.7","197","0","0","47","10000","scattered clouds","Clouds","2024-10-30 03:09:09"
"114","Samarinda","34.41","47","1009","1.68","207","0","0","42","10000","scattered clouds","Clouds","2024-10-30 04:09:09"
"115","Samarinda","35.14","44","1008","1.58","204","0","0","43","10000","scattered clouds","Clouds","2024-10-30 05:09:09"
"116","Samarinda","32.32","59","1007","1.66","157","0.31","0","55","10000","light rain","rain","2024-10-30 06:09:09"
"117","Samarinda","30.03","71","1006","1.41","133","0.18","0","100","10000","light rain","rain","2024-10-30 07:09:09"
"118","Samarinda","28.16","83","1006","1.52","117","0.71","0","90","10000","light rain","rain","2024-10-30 08:09:09"
"119","Samarinda","27.34","88","1007","1.45","127","0.42","0","93","10000","light rain","rain","2024-10-30 09:09:09"
"120","Samarinda","25.86","94","1007","1.23","126","0","0","92","10000","overcast clouds","Clouds","2024-10-30 10:09:09"
"121","Samarinda","25.14","95","1008","1.28","115","0","0","91","10000","overcast clouds","Clouds","2024-10-30 11:09:09"
"122","Samarinda","24.81","96","1009","1.16","122","0","0","67","10000","broken clouds","Clouds","2024-10-30 12:09:09"
"123","Samarinda","24.44","96","1010","1.13","122","0.62","0","4","10000","light rain","rain","2024-10-30 13:09:09"
"124","Samarinda","24.22","97","1010","1","140","0.49","0","4","10000","light rain","rain","2024-10-30 14:09:09"
"125","Samarinda","24.07","97","1010","0.87","126","0.2","0","4","10000","light rain","rain","2024-10-30 15:09:09"
"126","Samarinda","23.93","97","1010","0.41","118","0","0","6","10000","clear sky","Clear","2024-10-30 16:09:09"
"127","Samarinda","23.78","98","1009","0.34","119","0","0","8","10000","clear sky","Clear","2024-10-30 17:09:09"
"128","Samarinda","23.79","97","1009","0.21","127","0","0","26","10000","scattered clouds","Clouds","2024-10-30 18:09:09"
"129","Samarinda","23.67","98","1009","0.47","143","0","0","99","10000","overcast clouds","Clouds","2024-10-30 19:09:09"
"130","Samarinda","23.62","97","1009","0.57","77","0","0","99","10000","overcast clouds","Clouds","2024-10-30 20:09:09"
"131","Samarinda","23.54","97","1009","0.36","88","0.11","0","100","10000","light rain","rain","2024-10-30 21:09:09"
"132","Samarinda","23.47","98","1010","0.15","132","0.25","0","100","10000","light rain","rain","2024-10-30 22:09:09"
"133","Samarinda","24.37","96","1011","0.33","265","0.96","0","100","10000","light rain","rain","2024-10-30 23:09:09"
"134","Samarinda","25.96","91","1012","1.89","310","0.34","0","99","10000","light rain","rain","2024-10-31 00:09:09"
